Wage_Agreement,Function,Municipality,Municipality_code,Municipality_name,Year,Physician_man_years
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3431 Dovre,K-3431,Dovre,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3432 Lesja,K-3432,Lesja,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3433 Skjåk,K-3433,Skjåk,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3434 Lom,K-3434,Lom,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3435 Vågå,K-3435,Vågå,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3436 Nord-Fron,K-3436,Nord-Fron,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3437 Sel,K-3437,Sel,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3438 Sør-Fron,K-3438,Sør-Fron,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3439 Ringebu,K-3439,Ringebu,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3440 Øyer,K-3440,Øyer,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3441 Gausdal,K-3441,Gausdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3442 Østre Toten,K-3442,Østre Toten,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3443 Vestre Toten,K-3443,Vestre Toten,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3446 Gran,K-3446,Gran,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3447 Søndre Land,K-3447,Søndre Land,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3448 Nordre Land,K-3448,Nordre Land,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3449 Sør-Aurdal,K-3449,Sør-Aurdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3450 Etnedal,K-3450,Etnedal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3451 Nord-Aurdal,K-3451,Nord-Aurdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3452 Vestre Slidre,K-3452,Vestre Slidre,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3453 Øystre Slidre,K-3453,Øystre Slidre,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3454 Vang,K-3454,Vang,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3301 Drammen,K-3301,Drammen,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3303 Kongsberg,K-3303,Kongsberg,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3305 Ringerike,K-3305,Ringerike,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3310 Hole,K-3310,Hole,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3312 Lier,K-3312,Lier,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3314 Øvre Eiker,K-3314,Øvre Eiker,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3316 Modum,K-3316,Modum,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3318 Krødsherad,K-3318,Krødsherad,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3320 Flå,K-3320,Flå,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3322 Nesbyen,K-3322,Nesbyen,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3324 Gol,K-3324,Gol,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3326 Hemsedal,K-3326,Hemsedal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3328 Ål,K-3328,Ål,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3330 Hol,K-3330,Hol,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3332 Sigdal,K-3332,Sigdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3334 Flesberg,K-3334,Flesberg,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3336 Rollag,K-3336,Rollag,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3338 Nore og Uvdal,K-3338,Nore og Uvdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3901 Horten,K-3901,Horten,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3903 Holmestrand,K-3903,Holmestrand,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3905 Tønsberg,K-3905,Tønsberg,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3907 Sandefjord,K-3907,Sandefjord,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3909 Larvik,K-3909,Larvik,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",3911 Færder,K-3911,Færder,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4001 Porsgrunn,K-4001,Porsgrunn,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4003 Skien,K-4003,Skien,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4005 Notodden,K-4005,Notodden,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4010 Siljan,K-4010,Siljan,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4012 Bamble,K-4012,Bamble,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4014 Kragerø,K-4014,Kragerø,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4016 Drangedal,K-4016,Drangedal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4018 Nome,K-4018,Nome,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4020 Midt-Telemark,K-4020,Midt-Telemark,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4022 Seljord,K-4022,Seljord,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4024 Hjartdal,K-4024,Hjartdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4026 Tinn,K-4026,Tinn,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4028 Kviteseid,K-4028,Kviteseid,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4030 Nissedal,K-4030,Nissedal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4032 Fyresdal,K-4032,Fyresdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4034 Tokke,K-4034,Tokke,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4036 Vinje,K-4036,Vinje,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4201 Risør,K-4201,Risør,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4202 Grimstad,K-4202,Grimstad,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4203 Arendal,K-4203,Arendal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4204 Kristiansand,K-4204,Kristiansand,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4205 Lindesnes,K-4205,Lindesnes,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4206 Farsund,K-4206,Farsund,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4207 Flekkefjord,K-4207,Flekkefjord,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4211 Gjerstad,K-4211,Gjerstad,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4212 Vegårshei,K-4212,Vegårshei,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4213 Tvedestrand,K-4213,Tvedestrand,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4214 Froland,K-4214,Froland,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4215 Lillesand,K-4215,Lillesand,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4216 Birkenes,K-4216,Birkenes,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4217 Åmli,K-4217,Åmli,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4218 Iveland,K-4218,Iveland,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4219 Evje og Hornnes,K-4219,Evje og Hornnes,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4220 Bygland,K-4220,Bygland,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4221 Valle,K-4221,Valle,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4222 Bykle,K-4222,Bykle,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4223 Vennesla,K-4223,Vennesla,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4224 Åseral,K-4224,Åseral,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4225 Lyngdal,K-4225,Lyngdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4226 Hægebostad,K-4226,Hægebostad,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4227 Kvinesdal,K-4227,Kvinesdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4228 Sirdal,K-4228,Sirdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1101 Eigersund,K-1101,Eigersund,2015,1.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1103 Stavanger,K-1103,Stavanger,2015,0.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1106 Haugesund,K-1106,Haugesund,2015,1.7
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1108 Sandnes,K-1108,Sandnes,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1111 Sokndal,K-1111,Sokndal,2015,0.8
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1112 Lund,K-1112,Lund,2015,1.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1114 Bjerkreim,K-1114,Bjerkreim,2015,0.9
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1119 Hå,K-1119,Hå,2015,1.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1120 Klepp,K-1120,Klepp,2015,2.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1121 Time,K-1121,Time,2015,0.8
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1122 Gjesdal,K-1122,Gjesdal,2015,0.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1124 Sola,K-1124,Sola,2015,2.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1127 Randaberg,K-1127,Randaberg,2015,0.8
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1130 Strand,K-1130,Strand,2015,1.8
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1133 Hjelmeland,K-1133,Hjelmeland,2015,0.5
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1134 Suldal,K-1134,Suldal,2015,0.8
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1135 Sauda,K-1135,Sauda,2015,0.8
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1144 Kvitsøy,K-1144,Kvitsøy,2015,0.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1145 Bokn,K-1145,Bokn,2015,0.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1146 Tysvær,K-1146,Tysvær,2015,0.7
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1149 Karmøy,K-1149,Karmøy,2015,1.9
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1151 Utsira,K-1151,Utsira,2015,0.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1160 Vindafjord,K-1160,Vindafjord,2015,1.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4601 Bergen,K-4601,Bergen,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4602 Kinn,K-4602,Kinn,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4611 Etne,K-4611,Etne,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4612 Sveio,K-4612,Sveio,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4613 Bømlo,K-4613,Bømlo,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4614 Stord,K-4614,Stord,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4615 Fitjar,K-4615,Fitjar,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4616 Tysnes,K-4616,Tysnes,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4617 Kvinnherad,K-4617,Kvinnherad,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4618 Ullensvang,K-4618,Ullensvang,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4619 Eidfjord,K-4619,Eidfjord,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4620 Ulvik,K-4620,Ulvik,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4621 Voss,K-4621,Voss,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4622 Kvam,K-4622,Kvam,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4623 Samnanger,K-4623,Samnanger,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4624 Bjørnafjorden,K-4624,Bjørnafjorden,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4625 Austevoll,K-4625,Austevoll,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4626 Øygarden,K-4626,Øygarden,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4627 Askøy,K-4627,Askøy,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4628 Vaksdal,K-4628,Vaksdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4629 Modalen,K-4629,Modalen,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4630 Osterøy,K-4630,Osterøy,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4631 Alver,K-4631,Alver,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4632 Austrheim,K-4632,Austrheim,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4633 Fedje,K-4633,Fedje,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4634 Masfjorden,K-4634,Masfjorden,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4635 Gulen,K-4635,Gulen,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4636 Solund,K-4636,Solund,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4637 Hyllestad,K-4637,Hyllestad,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4638 Høyanger,K-4638,Høyanger,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4639 Vik,K-4639,Vik,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4640 Sogndal,K-4640,Sogndal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4641 Aurland,K-4641,Aurland,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4642 Lærdal,K-4642,Lærdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4643 Årdal,K-4643,Årdal,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4644 Luster,K-4644,Luster,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4645 Askvoll,K-4645,Askvoll,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4646 Fjaler,K-4646,Fjaler,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4647 Sunnfjord,K-4647,Sunnfjord,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4648 Bremanger,K-4648,Bremanger,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4649 Stad,K-4649,Stad,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4650 Gloppen,K-4650,Gloppen,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",4651 Stryn,K-4651,Stryn,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1505 Kristiansund,K-1505,Kristiansund,2015,1.6
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1506 Molde,K-1506,Molde,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1508 Ålesund,K-1508,Ålesund,2015,
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1511 Vanylven,K-1511,Vanylven,2015,0.8
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1514 Sande,K-1514,Sande,2015,0.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1515 Herøy (Møre og Romsdal),K-1515,Herøy (Møre og Romsdal),2015,1.0
Mandatory practitioners,"241 Diagnosis, treatment and rehabilitation",1516 Ulstein,K-1516,Ulstein,2015,0.8
